Etat Des Mouvements Des Stocks du  jusqu'a 


Reference ; Materiel ; Quantite Initiale ; Entree ; Sortie ; Quantite Finale ; Unite
"refcartoucheimprimantecanon";"Canon PG-545 + CL-546-Multipack (Couleur et Noir)";"11";"0";"0";"11";"nombre(s)";
"reftonersbrohtertn2320";"Multipack toners compatibles Brother TN-2320 (noir)";"6";"0";"0";"6";"nombre(s)";
"refmarqueur";"BIC Marking Fine ECOlutions Marqueur Permanent - Noir, Blister de 1";"10";"0";"0";"10";"nombre(s)";
"refarmoire2p1";"classeur de rangement 3 étage couleur gris";"4";"0";"0";"4";"nombre(s)";


